ID,Age_class,site,First_captured,Year_birth,Cohort_birth,sex,cohort_sexual_maturity,AFR,Last_captured,lifespan,weaned_juv,age,nb_juv,season
J017,J,MV1,22/05/2014,2014,Spring,F,Intermediate sexual maturity,15,21/08/2017,40.0,1,22,1,Post-mast
J017,J,MV1,22/05/2014,2014,Spring,F,Intermediate sexual maturity,15,21/08/2017,40.0,0,37,0,Pre-mast
J019,A,MV1,23/05/2014,2013,Summer ,F,Late sexual maturity,22,22/05/2018,56.0,0,7,0,Post-mast
J019,A,MV1,23/05/2014,2013,Summer ,F,Late sexual maturity,22,22/05/2018,56.0,1,22,5,Pre-mast
J019,A,MV1,23/05/2014,2013,Summer ,F,Late sexual maturity,22,22/05/2018,56.0,1,30,3,Post-mast
J019,A,MV1,23/05/2014,2013,Summer ,F,Late sexual maturity,22,22/05/2018,56.0,1,45,1,Pre-mast
J019,A,MV1,23/05/2014,2013,Summer ,F,Late sexual maturity,22,22/05/2018,56.0,1,52,2,Post-mast
J020,A,MV1,23/05/2014,2013,Summer ,M,Early sexual maturity,7,10/06/2017,45.0,1,7,1,Post-mast
J020,A,MV1,23/05/2014,2013,Summer ,M,Early sexual maturity,7,10/06/2017,45.0,1,22,3,Pre-mast
J020,A,MV1,23/05/2014,2013,Summer ,M,Early sexual maturity,7,10/06/2017,45.0,0,30,0,Post-mast
J020,A,MV1,23/05/2014,2013,Summer ,M,Early sexual maturity,7,10/06/2017,45.0,0,45,0,Pre-mast
J026,A,MV1,25/05/2014,2013,Summer ,F,Early sexual maturity,7,04/08/2017,47.0,1,7,3,Post-mast
